NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IPV4, DIRECCION_IPV6, VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA
 CRED1004X1,Loopback0,,,WAN: 181.225.41.18/32 - LAN: ,WAN: 2803:D480:0:73::18/128 - LAN: ,,
 CRED1004X1,Port-channel1,,,,,,
 CRED1004X1,Port-channel1.9,CC-BACKBONE-L3-IFX,9,WAN: 172.23.249.2/28 - LAN: ,WAN: 2803:D480:0:80:0:3E80:0:4/124 - LAN: ,,
 CRED1004X1,Port-channel1.30,CRED-LEBRUN,30,WAN: 172.23.249.34/28 - LAN: ,WAN: 2803:D480:0:66::C001/64 - LAN: ,,
 CRED1004X1,Port-channel2,LEV3-CL_IP - FRO2006909960,,,,,
 CRED1004X1,Port-channel3,,,,,,
 CRED1004X1,Port-channel3.282(shutdown),,,,,,
 CRED1004X1,Port-channel4,,,,,,
 CRED1004X1,Port-channel5,,,,,,
 CRED1004X1,Port-channel6,,,,,,
 CRED1004X1,Port-channel8,,,,,,
 CRED1004X1,Port-channel9,,,,,,
 CRED1004X1,TenGigabitEthernet0/1/0,CCSJ4500CREX2_xe-0/0/14_TUNO-CUBON-CV,,,,,
 CRED1004X1,TenGigabitEthernet1/0/2.1048,BPLAZA-MGMT;ID:26317,1048, SEC-WAN: 172.23.237.253/30 - LAN: WAN: 172.23.254.205/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.1050,LIBER-CORP-SB-SW,1050,WAN: 172.23.238.13/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.1163,ANAUC-2NET-C-MEDICO;ID:26378,1163,WAN: 172.23.243.237/30 - LAN: 190.94.199.216/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/2.1403,CCGP-UNICASA-USLAR;ID:27190,1403,WAN: 172.23.248.89/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.1929,SOAINT;ID:26163,1929,WAN: 172.23.247.93/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/2.1930(shutdown),LIBER-SOL-COELLO-P6,1930,WAN: 172.23.245.21/30 - LAN: 181.225.44.40/29 181.225.47.176/28 181.225.53.136/29 ,,ACL:COELLO-T_POLAR / Mb:1150,ACL:COELLO-T_POLAR / Mb:1150,
 CRED1004X1,TenGigabitEthernet1/0/2.1944,LIBER-EVENPRO-1;ID:26122,1944,WAN: 172.23.247.61/30 - LAN: 172.23.244.44/30 190.94.209.160/29 190.94.210.220/30 190.94.244.36/30 190.94.244.40/30 190.94.244.44/30 190.94.251.48/29 ,,ACL:680M / Mb:680,ACL:680M / Mb:680,
 CRED1004X1,TenGigabitEthernet1/0/2.1958,CRED-C-CRED-TC-SW;ID:26607,1958,WAN: 172.23.242.97/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.1970,CRED-HIPERM-PARAMO;ID:26920,,,,,
 CRED1004X1,TenGigabitEthernet1/0/2.3005,LIBER-BANCOPLAZA-PPL;ID:26317,3005,WAN: 172.23.237.197/30 - LAN: 181.225.47.128/28 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/2.3009,LIB-SIMPLE-TV-BM-MGMT;ID:26956,3009,WAN: 172.23.255.125/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3,CCSJ4500CREX2_xe-0/0/9_GALI-PCR-TPAR-COD-CAMPUS,,,,,
 CRED1004X1,TenGigabitEthernet1/0/3.57,GALI-MGMT,57,WAN: 172.23.249.145/29 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.59,CAMP-MGMT,59,WAN: 172.23.236.1/29 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.501(shutdown),DESOMI-T-CAVENDES;ID:26589,501,WAN: 172.23.241.181/30 - LAN: 190.94.244.252/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet1/0/3.506(shutdown),ECHYASOC;ID:25934,506,WAN: 172.23.253.173/30 - LAN: 181.225.42.176/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.508(shutdown),GARCIA-TUNON;ID:26200,508,WAN: 172.23.245.141/30 - LAN: 190.94.250.28/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.510(shutdown),COLAS-RAIL;ID:25923,510,WAN: 172.23.252.5/30 - LAN: 181.225.42.152/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.511,PCR-ESTANCIA-GRAN-2C;ID:4,511,WAN: 190.94.253.241/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
