NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IP,VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1751,PCR-GAMA-SEDUVIGIS ,1751,172.23.244.221 255.255.255.252,,,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1753,PCR-PARAWA,1753,172.23.243.61 255.255.255.252,80M,80M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1755,PCR-SOLUCIONES-EMP,1755,172.23.243.153 255.255.255.252,60M,60M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1756,PCR-PNUD-VZLA,1756,172.23.243.157 255.255.255.252,30M,30M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1757,PCR-IG-NETWORKS,1757,172.23.243.101 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1761,PCR-ROCAVILA,1761,172.23.243.169 255.255.255.252,60M,60M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1762,PRC-DRAGAS-DEL-SUR,1762,172.23.242.137 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1763,PCR-BLUECHIP,1763,172.23.243.197 255.255.255.252,40M,40M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1764,PCR-IFRC,1764,172.23.244.253 255.255.255.252,150M,150M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1765,PCR-NTIS-C-LETONIA,1765,172.23.242.65 255.255.255.252,NTIS-LETONIA,NTIS-LETONIA,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1766,PC-CONSULTORES-AMD,1766,172.23.242.133 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1767,PC-ESCALABEDS,1767,172.23.241.149 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1768,PC-CISE,1768,172.23.243.229 255.255.255.252,60M,60M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1771,C-SANTIAGO-LEON;ID:26340,1771,172.23.244.105 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1772,PANDURE;ID:26527,1772,172.23.241.9 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1774,ALIMENTOS-TUNAS;ID:26355,1774,172.23.241.241 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.4050,GALI-IGLESIA-C-ALEG,4050,172.23.248.29 255.255.255.252,20M,20M,
