NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IP,VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA
 VELEBNOC1002X1,GigabitEthernet0/1/2.1662,LEB-DIVISION-365,1662,172.23.246.209 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1663,LEB-QTA-ODETE,1663,190.94.252.209 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1664,LEB-HERGLY,1664,172.23.246.213 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1665,LEB-INVERSIONES-747,1665,172.23.246.221 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1666,LEB-FARMACIA-ADAN,1666,172.23.246.57 255.255.255.252,80M,80M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1667,LEB-GENERACION-TECN,1667,172.23.246.113 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1668,LEB-TRANRED-SIEMENS ,1668,172.23.246.53 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1669,LEB-PRC-SEGRE,1669,172.23.246.25 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1671,LEB-CENTRO-MARMOL,1671,172.23.243.73 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1675,LEB-HOTECHE,1675,172.23.243.97 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1678,LEB-GAMA-BOL-SW,1678,172.23.244.53 255.255.255.252,,,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1682,LEB-AVILAIRE,1682,172.23.243.117 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1683,LEB-CLOUDHOPP,1683,172.23.243.165 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1714,LEB-CLUB-LOS-CORTIJOS,1714,172.23.246.201 255.255.255.252,30M,30M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1716,LEB-IMPORTMED-SPINAL,1716,172.23.246.249 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1717,LEB-LIBERTY-BOL,1717,172.23.243.29 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1718,LEB-POLINAC,1718,172.23.243.33 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1719,LEB-KORES,1719,172.23.243.49 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1722,LEB-C-SANTIAGO-LEON,1722,172.23.244.105 255.255.255.252,50M,50M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1723,LEB-FC-PHARMA,1723,172.23.244.237 255.255.255.252,30M,30M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1726,LEB-OPS-LOS-RUICES,1726,172.23.244.149 255.255.255.252,30M,30M,
 VELEBNOC1002X1,GigabitEthernet0/1/3(shutdown),,,,,,
 VELEBNOC1002X1,GigabitEthernet0/1/4(shutdown),,,,,,
 VELEBNOC1002X1,GigabitEthernet0/1/5,,,,,,
 VELEBNOC1002X1,GigabitEthernet0/1/5.603,BOL-CHOCOBRU,603,172.23.247.185 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.604,BOL-CASA-DE-CHARLES,604,172.23.245.17 255.255.255.252,,,
 VELEBNOC1002X1,GigabitEthernet0/1/5.605,RED1-VL605-BOL-HEB-CAM,605,172.23.253.97 255.255.255.252,50M,50M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.606,BOL-WEDOO-TECH,606,172.23.247.249 255.255.255.252,25M,25M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.607(shutdown),RED1-VL607-BOL-VERNON,607,172.23.252.37 255.255.255.252,4M,4M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.608(shutdown),BOL-KRONES,608,172.23.252.45 255.255.255.252,2M,2M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.610,BOL-ARTROGEN,610,172.23.245.173 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.611,BOL-AXESS-NET,611,172.23.245.249 255.255.255.252,100M,100M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.612,BOL-GPO-GBAL-REFUGIO,612,172.23.245.165 255.255.255.252,50M,50M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.614,RIVOLI-BOSQUE,614,172.23.252.169 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.615,BOL-JUANVARELA,615,172.23.252.177 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.616,BOL-CAPI,616,172.23.252.185 255.255.255.252,70M,70M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.617,BOL-TECNO,617,172.23.252.253 255.255.255.252,50M,50M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.619,RED1-VL619-BOL-ASAD-CC,619,172.23.251.53 255.255.255.252,10M,10M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.621(shutdown),RED1-VL621-BOL-COLODRA,621,172.23.251.157 255.255.255.252,2M,2M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.624,RED1-VL624-BOL-VENEIMCA,624,172.23.250.145 255.255.255.252,6M,6M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.625(shutdown),VL625-BOL-CASA-ESTEFANY,625,190.94.210.217 255.255.255.252,6M,6M,
 VELEBNOC1002X1,GigabitEthernet0/1/5.626,RED1-VL626-BOL-BOL-JSIMKIN,626,172.23.250.149 255.255.255.252,20M,20M,
