NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IPV4, DIRECCION_IPV6, VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA
 CRED1004X1,Loopback0,,,WAN: 181.225.41.18/32 - LAN: ,WAN: 2803:D480:0:73::18/128 - LAN: ,,
 CRED1004X1,Port-channel1,,,,,,
 CRED1004X1,Port-channel1.9,CC-BACKBONE-L3-IFX,9,WAN: 172.23.249.2/28 - LAN: ,WAN: 2803:D480:0:80:0:3E80:0:4/124 - LAN: ,,
 CRED1004X1,Port-channel1.30,CRED-LEBRUN,30,WAN: 172.23.249.34/28 - LAN: ,WAN: 2803:D480:0:66::C001/64 - LAN: ,,
 CRED1004X1,Port-channel2,LEV3-CL_IP - FRO2006909960,,,,,
 CRED1004X1,Port-channel3,,,,,,
 CRED1004X1,Port-channel3.282(shutdown),,,,,,
 CRED1004X1,Port-channel4,,,,,,
 CRED1004X1,Port-channel5,,,,,,
 CRED1004X1,Port-channel6,,,,,,
 CRED1004X1,Port-channel8,,,,,,
 CRED1004X1,Port-channel9,,,,,,
 CRED1004X1,TenGigabitEthernet0/3/0.3140,CRED-INV-B2008;ID:26953,3140,WAN: 172.23.237.245/30 - LAN: 190.94.194.80/30 190.94.194.84/30 ,,ACL:200M / Mb:200,ACL:200M / Mb:200,
 CRED1004X1,TenGigabitEthernet0/3/0.3141,CRED-FASTMED;ID:26793,3141,WAN: 172.23.248.9/30 - LAN: 190.94.194.112/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3201,GALI-PURO-PAGO,3201,WAN: 172.23.246.137/30 - LAN: 190.94.252.84/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet0/3/0.3211,REVERON-2;ID:26236,3211,WAN: 172.23.246.197/30 - LAN: 190.94.251.88/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/3/0.3216,ESMARTKEEP;ID:26280,3216,WAN: 172.23.246.125/30 - LAN: 190.94.252.180/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/3/0.3290,GPON-VL3290-INTERVIT;ID:26209,3290,WAN: 172.23.245.233/30 - LAN: 190.94.250.108/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/3/0.3309,GAMA-SB;ID:26091,3309,WAN: 190.94.193.241/30 - LAN: ,,ACL:400M / Mb:400,ACL:400M / Mb:400,
 CRED1004X1,TenGigabitEthernet0/3/0.3358,FARMARATO;ID:26312,3358,WAN: 172.23.244.225/30 - LAN: 190.94.199.32/30 ,,ACL:40M / Mb:40,ACL:40M / Mb:40,
 CRED1004X1,TenGigabitEthernet0/3/0.3360,ELUN-GRUPESKA,3360,WAN: 172.23.248.105/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/0,,,,,,
 CRED1004X1,TenGigabitEthernet1/0/1,,,,,,
 CRED1004X1,TenGigabitEthernet1/0/2,CCSJ4500CREX2_xe-0/0/10_CRED-LIBER-ANAUC,,,,,
 CRED1004X1,TenGigabitEthernet1/0/2.58,TO3M-MGMT,58,WAN: 172.23.249.153/29 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.253(shutdown),CRED-LEBH-IFXSERVERS,253, SEC-WAN: 200.62.10.1/26 - LAN: WAN: 181.225.41.65/28 - LAN: ,WAN: 2803:D480:0:80::3D01/120 - LAN: ,,
 CRED1004X1,TenGigabitEthernet1/0/2.257,DVA-SERVICIOS;ID:21467,257,WAN: 190.94.210.253/30 - LAN: ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/2.264,CRED-VIPTEL,264,WAN: 200.62.26.197/30 - LAN: 181.225.39.0/24 181.225.45.128/26 181.225.57.0/24 181.225.58.0/23 190.94.215.0/24 190.94.246.0/24 190.94.247.0/24 190.94.248.0/24 190.94.249.0/24 200.1.119.0/24 201.218.180.0/22 ,WAN: 2803:D480:0:69::8053/64 - LAN: ,ACL:VIPTEL / Mb:4000,ACL:VIPTEL / Mb:4000,
 CRED1004X1,TenGigabitEthernet1/0/2.269,CRED-SALOMON,269,WAN: 190.94.201.1/30 - LAN: 190.94.201.212/30 ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.276(shutdown),CRED-INTERLINEMAK,276,WAN: 190.94.218.105/29 - LAN: ,,ACL:30M / Mb:30,ACL:30M / Mb:30,
 CRED1004X1,TenGigabitEthernet1/0/2.278,CRED-FCHACON,278,WAN: 190.94.253.137/30 - LAN: ,,ACL:40M / Mb:40,ACL:40M / Mb:40,
 CRED1004X1,TenGigabitEthernet1/0/2.298,CRED-7LINK,298,WAN: 181.225.44.21/30 - LAN: 181.225.44.16/30 181.225.48.240/29 190.94.201.32/30 ,,ACL:7-LINK / Mb:2000,ACL:7-LINK / Mb:2000,
 CRED1004X1,TenGigabitEthernet1/0/2.961,MB-INT-1;ID:26059,961,WAN: 190.94.211.41/29 - LAN: ,,ACL:80M / Mb:80,ACL:80M / Mb:80,
 CRED1004X1,TenGigabitEthernet1/0/2.1007,LIBER-EVENPRO-2;ID:26122,1007,WAN: 172.23.237.53/30 - LAN: 190.94.209.160/29 ,,ACL:260M / Mb:260,ACL:260M / Mb:260,
 CRED1004X1,TenGigabitEthernet1/0/2.1014,LIBER-COL-SINAI,1014,WAN: 172.23.255.157/30 - LAN: 181.225.43.240/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/2.1018,CASIO-REC-LC5;ID:26307,1018,WAN: 172.23.240.5/30 - LAN: 190.94.193.44/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/2.1027,LIBER-FT-TRANSPORTE,1027, SEC-WAN: 172.23.241.45/30 - LAN: 190.94.244.240/30 WAN: 172.23.240.201/30 - LAN: ,,,
